16:08:37.972 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.Infolabz.journalApp.JournalApplicationTests], using SpringBootContextLoader
16:08:37.980 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.Infolabz.journalApp.JournalApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
16:08:37.981 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.Infolabz.journalApp.JournalApplicationTests]: JournalApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
16:08:38.120 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.Infolabz.journalApp.JournalApplication for test class com.Infolabz.journalApp.JournalApplicationTests
16:08:38.199 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
16:08:38.215 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5d1659ea, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@793138bd, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@1951b871, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5c18016b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@33aeca0b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@43aaf813, org.springframework.test.context.transaction.TransactionalTestExecutionListener@57ac5227, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4ba302e0, org.springframework.test.context.event.EventPublishingTestExecutionListener@e98770d, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1ae67cad, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2f6e28bc, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7c098bb3, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@31e4bb20, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@18cebaa5, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@463b4ac8]
16:08:38.643 [main] INFO  c.I.j.JournalApplicationTests - Starting JournalApplicationTests using Java 22.0.1 on LAPTOP-UI22281S with PID 23848 (started by Admin in D:\java 2025 Intellij idea\Spring boot\journalApp)
16:08:38.644 [main] INFO  c.I.j.JournalApplicationTests - The following 1 profile is active: "dev"
16:08:39.218 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
16:08:39.293 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 69 ms. Found 2 MongoDB repository interfaces.
16:08:40.309 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/22.0.1+8-16", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=false, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='jenish2312', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@461c3709]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.ddxszfd.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-103rjr-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
16:08:40.377 [cluster-ClusterId{value='68738cb0a8824e7a088d1a15', description='null'}-srv-cluster0.ddxszfd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-hywcekt-shard-00-02.ddxszfd.mongodb.net:27017 to client view of cluster
16:08:40.416 [cluster-ClusterId{value='68738cb0a8824e7a088d1a15', description='null'}-srv-cluster0.ddxszfd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017 to client view of cluster
16:08:40.418 [cluster-ClusterId{value='68738cb0a8824e7a088d1a15', description='null'}-srv-cluster0.ddxszfd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-hywcekt-shard-00-00.ddxszfd.mongodb.net:27017 to client view of cluster
16:08:40.859 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@31a136a6 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-hywcekt-shard-00-02.ddxszfd.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-hywcekt-shard-00-00.ddxszfd.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
16:08:41.224 [cluster-ClusterId{value='68738cb0a8824e7a088d1a15', description='null'}-ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:53271}] to ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017
16:08:41.224 [cluster-ClusterId{value='68738cb0a8824e7a088d1a15', description='null'}-ac-hywcekt-shard-00-02.ddxszfd.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:50531}] to ac-hywcekt-shard-00-02.ddxszfd.mongodb.net:27017
