13:19:51.302 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.Infolabz.journalApp.JournalApplicationTests], using SpringBootContextLoader
13:19:51.313 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.Infolabz.journalApp.JournalApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
13:19:51.315 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.Infolabz.journalApp.JournalApplicationTests]: JournalApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
13:19:51.445 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.Infolabz.journalApp.JournalApplication for test class com.Infolabz.journalApp.JournalApplicationTests
13:19:51.558 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
13:19:51.575 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@58ffcbd7, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@555cf22, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6bb2d00b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3c9bfddc, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1a9c38eb, org.springframework.test.context.support.DirtiesContextTestExecutionListener@319bc845, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4c5474f5, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2f4205be, org.springframework.test.context.event.EventPublishingTestExecutionListener@54e22bdd, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3bd418e4, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@544820b7, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6b98a075, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2e61d218, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3569fc08, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@20b12f8a]
13:19:52.108 [main] INFO  c.I.j.JournalApplicationTests - Starting JournalApplicationTests using Java 22.0.1 on LAPTOP-UI22281S with PID 2216 (started by Admin in D:\java 2025 Intellij idea\Spring boot\journalApp)
13:19:52.110 [main] INFO  c.I.j.JournalApplicationTests - The following 1 profile is active: "dev"
13:19:52.827 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
13:19:52.878 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 46 ms. Found 2 MongoDB repository interfaces.
13:19:53.569 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/22.0.1+8-16", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=false, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='jenish2312', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@28e0e464]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.ddxszfd.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-103rjr-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
13:19:53.656 [cluster-ClusterId{value='6873652173aa71337279300e', description='null'}-srv-cluster0.ddxszfd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-hywcekt-shard-00-02.ddxszfd.mongodb.net:27017 to client view of cluster
13:19:53.684 [cluster-ClusterId{value='6873652173aa71337279300e', description='null'}-srv-cluster0.ddxszfd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017 to client view of cluster
13:19:53.685 [cluster-ClusterId{value='6873652173aa71337279300e', description='null'}-srv-cluster0.ddxszfd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-hywcekt-shard-00-00.ddxszfd.mongodb.net:27017 to client view of cluster
13:19:53.915 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@11f23203 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-hywcekt-shard-00-02.ddxszfd.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-hywcekt-shard-00-00.ddxszfd.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
13:19:54.355 [cluster-ClusterId{value='6873652173aa71337279300e', description='null'}-ac-hywcekt-shard-00-00.ddxszfd.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:49340}] to ac-hywcekt-shard-00-00.ddxszfd.mongodb.net:27017
13:19:54.355 [cluster-ClusterId{value='6873652173aa71337279300e', description='null'}-ac-hywcekt-shard-00-02.ddxszfd.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:48333}] to ac-hywcekt-shard-00-02.ddxszfd.mongodb.net:27017
13:19:54.355 [cluster-rtt-ClusterId{value='6873652173aa71337279300e', description='null'}-ac-hywcekt-shard-00-00.ddxszfd.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:49345}] to ac-hywcekt-shard-00-00.ddxszfd.mongodb.net:27017
13:19:54.355 [cluster-rtt-ClusterId{value='6873652173aa71337279300e', description='null'}-ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:50947}] to ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017
13:19:54.355 [cluster-ClusterId{value='6873652173aa71337279300e', description='null'}-ac-hywcekt-shard-00-02.ddxszfd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-hywcekt-shard-00-02.ddxszfd.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=345280200, setName='atlas-103rjr-shard-0', canonicalAddress=ac-hywcekt-shard-00-02.ddxszfd.mongodb.net:27017, hosts=[ac-hywcekt-shard-00-00.ddxszfd.mongodb.net:27017, ac-hywcekt-shard-00-02.ddxszfd.mongodb.net:27017, ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017], passives=[], arbiters=[], primary='ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=34, topologyVersion=TopologyVersion{processId=68700e9eab1455deaa598ba3, counter=3}, lastWriteDate=Sun Jul 13 13:19:53 IST 2025, lastUpdateTimeNanos=320916716167500}
13:19:54.355 [cluster-ClusterId{value='6873652173aa71337279300e', description='null'}-ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:50947}] to ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017
